attacker_mode,adaptive,frequency,n_trials,compromises,asp,asp_ci_lo,asp_ci_hi,n_success,ttc_small_n,ttc_mean,ttc_mean_ci_lo,ttc_mean_ci_hi,ttc_median,ttc_median_ci_lo,ttc_median_ci_hi,overhead_mean,overhead_ci_lo,overhead_ci_hi,overhead_per_tick_mean,overhead_per_asset_mean,forced_recons_mean,wrong_target_failures_mean,decoys_encountered_mean,stale_fraction_mean,rounds_completed_mean,trial_ticks_mean,mutation_events_mean
adaptive,True,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,18.041,17.33036024409789,18.75163975590211,12.0,12.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.0,0.0,0.631,18.041,0.0
adaptive,True,0.0025,1000,1000,1.0,0.996173241514445,1.0,1000,False,19.156,18.413395486731766,19.898604513268232,13.0,12.0,13.0,3.112,2.6341911421359936,3.5898088578640066,0.12455985401298793,0.389,0.151,0.637,0.0,0.002133112713121962,0.788,19.156,0.213
adaptive,True,0.005,1000,1000,1.0,0.996173241514445,1.0,1000,False,20.002,19.20054197437106,20.803458025628938,14.0,13.0,17.0,5.784,5.060282961149813,6.507717038850187,0.2263329801243495,0.723,0.284,0.632,0.0,0.003885896295796131,0.916,20.002,0.401
adaptive,True,0.01,1000,1000,1.0,0.996173241514445,1.0,1000,False,21.919,20.968930004088115,22.869069995911886,18.0,16.0,19.0,12.104,10.92275389100963,13.285246108990368,0.44126346275035566,1.513,0.611,0.588,0.0,0.007591032485430672,1.199,21.919,0.858
adaptive,True,0.02,1000,1000,1.0,0.996173241514445,1.0,1000,False,26.509,25.34367749922246,27.674322500777542,21.0,20.0,22.0,29.512,27.274100816856432,31.74989918314357,0.9077601488876506,3.689,1.373,0.537,0.0,0.01532104584464016,1.91,26.509,2.02
adaptive,True,0.04,1000,995,0.995,0.9883490446266249,0.9978624644726756,995,False,42.43417085427136,40.317393377950424,44.55094833059229,31.0,29.0,33.0,94.544,88.26370665672172,100.82429334327827,1.8439184116288243,11.818,3.97,0.56,0.0,0.031346554868632796,4.53,43.222,6.391
adaptive,True,0.06,1000,932,0.932,0.9146861384770105,0.9460075421914699,932,False,63.24141630901288,60.18489099435111,66.29794162367465,48.5,45.0,52.0,241.76,228.00291890871122,255.51708109128876,2.9034536809735028,30.22,8.948,0.556,0.0,0.04949226282590706,9.504,72.541,15.819
adaptive,True,0.08,1000,795,0.795,0.7688722989694241,0.8188699135240984,795,False,82.23270440251572,78.46692418211524,85.99848462291621,71.0,66.0,76.0,477.296,456.4956724540267,498.0963275459733,4.128276715831945,59.662,15.641,0.47,0.0,0.07057621508994381,16.111,106.375,30.265
adaptive,True,0.1,1000,528,0.528,0.4970108021953935,0.5587748993294154,528,False,89.17234848484848,84.64025483670382,93.70444213299315,84.5,79.0,93.0,800.408,773.8756212386901,826.94037876131,5.337923589914684,100.051,23.415,0.329,0.0,0.09307911483851682,23.744,141.483,48.92
adaptive,True,0.12,1000,343,0.343,0.3142286235426158,0.3729729786218485,343,False,99.14285714285714,93.24673614423601,105.03897814147827,96.0,85.0,104.0,1118.064,1091.0866939802177,1145.0413060197825,6.567545987251546,139.758,29.626,0.214,0.0,0.11571114296774825,29.84,165.406,66.426
adaptive,True,0.15,1000,147,0.147,0.12640395855176664,0.1702977329390353,147,False,107.06122448979592,98.38403990063017,115.73840907896167,108.0,95.0,119.0,1566.936,1543.5553738533388,1590.316626146661,8.305372885194778,195.867,36.164,0.099,0.0,0.14864112541184984,36.263,186.338,89.231
adaptive,True,0.2,1000,30,0.03,0.0210937388288347,0.042503414147587126,30,False,98.33333333333333,78.34502868090144,118.32163798576522,87.5,73.5,119.5,2199.92,2181.8142211603463,2218.025778839654,11.14669100256729,274.99,41.569,0.018,0.0,0.2001399527917578,41.587,196.95,116.186
adaptive,True,0.3,1000,3,0.003,0.0010207838811386186,0.008783014053503173,3,True,147.66666666666666,82.21704165756667,213.11629167576666,159.0,85.0,199.0,3353.968,3340.6627916499147,3367.273208350085,16.781716300035136,419.246,45.892,0.001,0.0,0.300333015120282,45.893,199.843,151.856
adaptive,True,0.5,1000,0,0.0,0.0,0.0038267584855551234,0,True,,,,,,,5604.68,5591.502145557787,5617.8578544422135,28.023400000000002,700.585,48.815,0.0,0.0,0.4994542769597225,48.815,200.0,187.632
non-adaptive,False,0.0,1000,1000,1.0,0.996173241514445,1.0,1000,False,21.827,20.735222009041976,22.918777990958027,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631,0.0,0.0,0.631,21.827,0.0
non-adaptive,False,0.0025,1000,1000,1.0,0.996173241514445,1.0,1000,False,23.426,22.36091901988912,24.491080980110876,13.0,12.0,13.0,3.592,3.0862376677034047,4.097762332296596,0.1135839111525145,0.449,0.146,0.614,0.0,0.002101045135627769,0.76,23.426,0.26
non-adaptive,False,0.005,1000,999,0.999,0.9943574414020421,0.9998234536293739,999,False,25.835835835835837,24.556147273785324,27.11552439788635,14.0,13.0,23.0,7.376,6.553350102648059,8.198649897351942,0.21542112886411166,0.922,0.292,0.651,0.0,0.003770714825072463,0.943,26.01,0.535
non-adaptive,False,0.01,1000,1000,1.0,0.996173241514445,1.0,1000,False,29.281,27.854291723153164,30.707708276846834,24.0,22.0,25.0,16.664,15.235130352240496,18.092869647759507,0.43983463377394466,2.083,0.614,0.597,0.0,0.007667701812645615,1.211,29.281,1.169
non-adaptive,False,0.02,1000,998,0.998,0.9927371921365079,0.9994513564118793,998,False,38.798597194388776,36.74263354417252,40.85456084460503,27.0,26.5,29.0,44.472,41.127402451452326,47.816597548547676,0.9024824322594698,5.559,1.435,0.551,0.0,0.01521028078660193,1.986,39.121,3.074
non-adaptive,False,0.04,1000,952,0.952,0.936933911349866,0.963606698979192,952,False,60.52100840336134,57.510280883098446,63.53173592362424,48.0,43.5,51.0,148.304,139.2456538089747,157.3623461910253,1.868715839418517,18.538,3.759,0.547,0.0,0.03132809634149376,4.306,67.216,9.932
non-adaptive,False,0.06,1000,787,0.787,0.7605503974702781,0.8112530431590133,787,False,78.35196950444727,74.57914205338795,82.12479695550658,68.0,62.0,74.0,348.6,332.42789798904374,364.7721020109563,2.9882940985025135,43.575,7.217,0.444,0.0,0.05061172929062394,7.661,104.263,22.724
non-adaptive,False,0.08,1000,531,0.531,0.5000102483912816,0.5617524925826141,531,False,88.22222222222223,83.45804005313315,92.98640439131131,84.0,74.0,91.0,627.808,606.5313604048233,649.0846395951767,4.1691996911802525,78.476,10.911,0.306,0.0,0.07287737129429885,11.217,140.646,39.912
non-adaptive,False,0.1,1000,328,0.328,0.2996080384525803,0.35770836646645066,328,False,98.9329268292683,92.74592943472899,105.1199242238076,97.0,89.0,113.0,940.664,917.929556477176,963.398443522824,5.445122102897901,117.583,13.832,0.218,0.0,0.09705436178218427,14.05,166.85,57.623
non-adaptive,False,0.12,1000,206,0.206,0.18208139113289099,0.23216874285661546,206,False,98.24271844660194,90.59203370497337,105.89340318823051,96.0,81.0,109.5,1208.16,1185.3081786900661,1231.011821309934,6.615556315663962,151.02,15.491,0.093,0.0,0.11831534268399137,15.584,179.038,71.868
non-adaptive,False,0.15,1000,65,0.065,0.051323770569062045,0.0820055093133709,65,False,99.95384615384616,85.5342952610871,114.37339704660522,102.0,76.0,123.0,1633.584,1614.8601866245183,1652.3078133754818,8.37498357941799,204.198,17.48,0.058,0.0,0.152253335969793,17.538,193.497,92.618
non-adaptive,False,0.2,1000,12,0.012,0.006877647806403522,0.02085726847549828,12,True,97.0,70.24897730631415,123.75102269368585,101.5,73.5,125.5,2223.816,2209.899460994405,2237.7325390055944,11.186958160123915,277.977,18.705,0.003,0.0,0.2040291990194801,18.708,198.764,116.941
non-adaptive,False,0.3,1000,0,0.0,0.0,0.0038267584855551234,0,True,,,,,,,3364.632,3352.1608775347377,3377.1031224652625,16.823160000000005,420.579,19.527,0.0,0.0,0.302358612905805,19.527,200.0,151.989
non-adaptive,False,0.5,1000,0,0.0,0.0,0.0038267584855551234,0,True,,,,,,,5603.072,5589.618873906617,5616.525126093383,28.01536,700.384,20.011,0.0,0.0,0.49946206927702347,20.011,200.0,187.561
