setting_label,is_control,varies_winners,port_weight,endpoint_weight,shuffling_weight,diversity_weight,deception_weight,cheapest@0.50,cheapest@0.25,cheapest@0.10,lean_dominates,deception_least_cost_effective,gap_at_asp_0.25
all-equal (control),True,False,1.0,1.0,1.0,1.0,1.0,port,port,+diversity,False,False,258.5110536731635
p1 e1 s1 v1 d1,False,False,1.0,1.0,1.0,1.0,1.0,port,port,+diversity,False,False,258.5110536731635
p1 e1 s1 v1 d2.5,False,False,1.0,1.0,1.0,1.0,2.5,port,port,+diversity,False,False,365.6539406296853
p1 e1 s1 v1 d5,False,False,1.0,1.0,1.0,1.0,5.0,port,port,+diversity,False,False,544.2254188905546
p1 e1 s1 v3 d1,False,True,1.0,1.0,1.0,3.0,1.0,port,port,+endpoint,True,True,415.0406852937168
p1 e1 s1 v3 d2.5,False,True,1.0,1.0,1.0,3.0,2.5,port,port,+endpoint,True,False,650.5592307482622
p1 e1 s1 v3 d5,False,True,1.0,1.0,1.0,3.0,5.0,port,port,+endpoint,True,False,972.0214536731636
p1 e1 s3 v1 d1,False,False,1.0,1.0,3.0,1.0,1.0,port,port,+endpoint,True,False,415.0406852937168
p1 e1 s3 v1 d2.5,False,False,1.0,1.0,3.0,1.0,2.5,port,port,+endpoint,True,False,650.5592307482622
p1 e1 s3 v1 d5,False,False,1.0,1.0,3.0,1.0,5.0,port,port,+endpoint,True,False,971.0341145427284
p1 e1 s3 v3 d1,False,True,1.0,1.0,3.0,3.0,1.0,port,port,+endpoint,True,True,415.0406852937168
p1 e1 s3 v3 d2.5,False,True,1.0,1.0,3.0,3.0,2.5,port,port,+endpoint,True,True,650.5592307482622
p1 e1 s3 v3 d5,False,True,1.0,1.0,3.0,3.0,5.0,port,port,+endpoint,True,False,1043.0901398391711
p1 e3 s1 v1 d1,False,True,1.0,3.0,1.0,1.0,1.0,port,port,port+decep,True,False,491.04444159466414
p1 e3 s1 v1 d2.5,False,True,1.0,3.0,1.0,1.0,2.5,port,port,+diversity,False,False,797.2494884557722
p1 e3 s1 v1 d5,False,True,1.0,3.0,1.0,1.0,5.0,port,port,+diversity,False,False,975.8209667166417
p1 e3 s1 v3 d1,False,True,1.0,3.0,1.0,3.0,1.0,port,port,port+decep,True,False,491.04444159466414
p1 e3 s1 v3 d2.5,False,True,1.0,3.0,1.0,3.0,2.5,port,port,+shuffling,False,False,928.0867757592526
p1 e3 s1 v3 d5,False,True,1.0,3.0,1.0,3.0,5.0,port,port,+shuffling,False,False,1403.6170014992504
p1 e3 s3 v1 d1,False,True,1.0,3.0,3.0,1.0,1.0,port,port,port+decep,True,False,491.04444159466414
p1 e3 s3 v1 d2.5,False,True,1.0,3.0,3.0,1.0,2.5,port,port,port+decep,True,False,928.0867757592526
p1 e3 s3 v1 d5,False,True,1.0,3.0,3.0,1.0,5.0,port,port,+diversity,False,False,1402.6296623688154
p1 e3 s3 v3 d1,False,True,1.0,3.0,3.0,3.0,1.0,port,port,port+decep,True,True,491.04444159466414
p1 e3 s3 v3 d2.5,False,True,1.0,3.0,3.0,3.0,2.5,port,port,port+decep,True,True,928.0867757592526
p1 e3 s3 v3 d5,False,True,1.0,3.0,3.0,3.0,5.0,port,port,+endpoint,True,False,1656.4906660335669
p3 e1 s1 v1 d1,False,True,3.0,1.0,1.0,1.0,1.0,+diversity,+diversity,+diversity,False,False,223.64255013309662
p3 e1 s1 v1 d2.5,False,True,3.0,1.0,1.0,1.0,2.5,+diversity,+diversity,+diversity,False,False,330.7854370896184
p3 e1 s1 v1 d5,False,True,3.0,1.0,1.0,1.0,5.0,+diversity,+diversity,+diversity,False,False,509.35691535048795
p3 e1 s1 v3 d1,False,True,3.0,1.0,1.0,3.0,1.0,+shuffling,+shuffling,+shuffling,False,False,447.1555353530232
p3 e1 s1 v3 d2.5,False,True,3.0,1.0,1.0,3.0,2.5,+shuffling,+shuffling,+shuffling,False,False,554.298422309545
p3 e1 s1 v3 d5,False,True,3.0,1.0,1.0,3.0,5.0,+shuffling,+shuffling,+shuffling,False,False,732.8699005704143
p3 e1 s3 v1 d1,False,True,3.0,1.0,3.0,1.0,1.0,+diversity,+diversity,+diversity,False,False,271.79777639751546
p3 e1 s3 v1 d2.5,False,True,3.0,1.0,3.0,1.0,2.5,+diversity,+diversity,+diversity,False,False,378.94066335403727
p3 e1 s3 v1 d5,False,True,3.0,1.0,3.0,1.0,5.0,+diversity,+diversity,+diversity,False,False,557.5121416149066
p3 e1 s3 v3 d1,False,True,3.0,1.0,3.0,3.0,1.0,+endpoint,+endpoint,+endpoint,True,False,419.9138330308831
p3 e1 s3 v3 d2.5,False,True,3.0,1.0,3.0,3.0,2.5,+endpoint,+endpoint,+endpoint,True,False,655.4323784854287
p3 e1 s3 v3 d5,False,True,3.0,1.0,3.0,3.0,5.0,+endpoint,+endpoint,+endpoint,True,False,904.9147310545986
p3 e3 s1 v1 d1,False,True,3.0,3.0,1.0,1.0,1.0,+diversity,+diversity,+diversity,False,False,274.6398122448977
p3 e3 s1 v1 d2.5,False,True,3.0,3.0,1.0,1.0,2.5,+diversity,+diversity,+diversity,False,False,381.7826992014195
p3 e3 s1 v1 d5,False,True,3.0,3.0,1.0,1.0,5.0,+diversity,+diversity,+diversity,False,False,560.354177462289
p3 e3 s1 v3 d1,False,True,3.0,3.0,1.0,3.0,1.0,+diversity,+shuffling,+diversity,False,False,340.39884994295903
p3 e3 s1 v3 d2.5,False,True,3.0,3.0,1.0,3.0,2.5,+diversity,+shuffling,+diversity,False,False,447.5417368994806
p3 e3 s1 v3 d5,False,True,3.0,3.0,1.0,3.0,5.0,+diversity,+shuffling,+diversity,False,False,626.1132151603504
p3 e3 s3 v1 d1,False,True,3.0,3.0,3.0,1.0,1.0,+diversity,+diversity,+diversity,False,False,322.795038509317
p3 e3 s3 v1 d2.5,False,True,3.0,3.0,3.0,1.0,2.5,+diversity,+diversity,+diversity,False,False,429.9379254658386
p3 e3 s3 v1 d5,False,True,3.0,3.0,3.0,1.0,5.0,+diversity,+diversity,+diversity,False,False,608.5094037267083
p3 e3 s3 v3 d1,False,True,3.0,3.0,3.0,3.0,1.0,port,port,+diversity,False,False,632.6759784107944
p3 e3 s3 v3 d2.5,False,True,3.0,3.0,3.0,3.0,2.5,port,port,+diversity,False,False,739.8188653673164
p3 e3 s3 v3 d5,False,True,3.0,3.0,3.0,3.0,5.0,port,port,+diversity,False,False,918.3903436281862
